bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,price
3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,221900
3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,538000
2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,180000
4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,604000
3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,510000
4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,1.23E+06
3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,257500
3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,291850
3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,229500
3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,323000
3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,662500
2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,468000
3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,310000
3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,400000
5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,530000
4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,650000
3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,395000
4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,485000
2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,189000
3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,230000
4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,385000
3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,2.00E+06
5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,285000
2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,252700
3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,329000
3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,233000
3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,937000
3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,667000
3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,438000
4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,719000
3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,580500
2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,280000
4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,687500
3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,535000
4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,322500
3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,696000
4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,550000
4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,640000
4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,240000
4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,605000
4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,625000
4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,775000
5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,861990
3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,685000
3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,309000
3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,488000
3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,210490
4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,785000
3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,450000
3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,1.35E+06
3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,228000
5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,345000
3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,600000
2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,585000
5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,920000
4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,885000
4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,292500
3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,301000
5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,951000
4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,430000
3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,98166,650000
3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,289000
3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,98166,505000
3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,98115,549000
3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,98122,425000
3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,317625
4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,98004,975000
4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,98001,287000
3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,98042,204000
5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,0,98004,1.33E+06
5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,0,98005,1.04E+06
3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,98034,325000
4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,571000
4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,0,98038,360000
3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,98042,349000
4,4,3430,35102,2,0,0,4,10,2390,1040,1986,0,98075,832500
4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,98008,380000
3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,98116,480000
3,1,1410,5060,1,0,0,4,7,910,500,1956,0,98133,410000
4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,98010,720000
3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,0,98038,390000
4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,360000
2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,355000
3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,98059,356000
3,1,960,6634,1,0,0,3,6,960,0,1952,0,98125,315000
3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,98119,940000
5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,305000
3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,0,98056,461000
2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,215000
2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,98136,335000
4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,243500
5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,0,98199,1.10E+06
3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,98023,153000
3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,430000
3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,700000
4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,98040,905000
3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,98032,247500
4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,199000
3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,0,98038,314000
3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,0,98045,437500
3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,850830
3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,555000
3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,98077,699950
3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,98004,1.09E+06
3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,98058,290000
3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,98058,375000
3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,460000
2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,0,98198,188500
4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,98077,680000
5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,98052,470000
4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,98027,597750
3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,98103,570000
3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,98038,272500
3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,0,98108,329950
4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,0,98001,480000
3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1999,98117,740500
3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,98103,518500
2,1,880,6780,1,0,0,4,6,880,0,1945,0,98178,205425
4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,98168,171800
4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,535000
3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,98177,660000
3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,98034,391500
2,1,770,6000,1,0,0,3,6,770,0,1953,0,98117,395000
4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,445000
3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,0,98052,770000
4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,1.45E+06
3,2.25,2100,8201,1,0,2,3,8,1620,480,1967,0,98178,445000
4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,260000
5,3.5,2320,4960,2,0,0,5,7,1720,600,1926,0,98103,822500
4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,430000
3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,0,98092,212000
4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,0,98027,660500
3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052,784000
3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,0,98029,453246
4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,0,98107,675000
3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,0,98003,199000
4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,220000
4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,0,98028,452000
2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,98125,382500
3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,519950
2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,98119,665000
5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,527700
3,1,1610,8579,1,0,0,4,7,1010,600,1962,0,98058,205000
3,1,1060,8097,1,0,0,4,7,940,120,1923,0,98133,420000
4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,0,98006,500000
4,2.5,3670,315374,2,0,0,4,9,3670,0,1994,0,98077,921500
4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,98109,890000
2,2.5,2420,60984,2,0,0,3,7,2420,0,2007,0,98027,430000
5,2,2260,12500,1,0,0,4,8,1130,1130,1960,0,98032,258000
3,1,1430,3455,1,0,0,3,7,980,450,1947,0,98103,511000
3,2,1360,3090,2,0,0,3,8,1360,0,1990,0,98103,532170
3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107,560000
3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,98003,282950
4,3.25,5180,19850,2,0,3,3,12,3540,1640,2006,0,98006,2.25E+06
1,1,700,5100,1,0,0,3,7,700,0,1942,0,98115,350000
3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,215000
5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,0,98056,650000
4,2.75,2640,7500,1,0,0,3,8,1620,1020,1967,0,98023,320000
3,2,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022,247000
4,1.75,1760,11180,1,0,0,4,8,1760,0,1968,0,98059,320000
5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,0,98146,255000
3,1.75,1780,9660,1,0,0,3,7,1780,0,1962,0,98034,438000
3,2.5,3400,16603,2,0,0,3,10,3400,0,2000,0,98075,900000
3,2.75,1910,7280,1,0,0,3,7,1160,750,1979,0,98034,441000
3,2,2020,38332,1,0,0,4,7,1010,1010,1975,0,98027,420000
3,1.75,1580,7000,1,0,0,3,7,1180,400,1976,0,98034,370000
2,1.75,1340,7250,1,0,0,5,5,700,640,1949,0,98198,269950
4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,0,98006,807100
3,2.5,2680,9750,1,0,0,4,8,1610,1070,1979,0,98034,653000
3,2,1370,8336,1,0,0,5,7,1370,0,1964,0,98133,371500
3,1.75,1560,21000,1,0,0,3,7,1560,0,1954,0,98166,284000
3,1.75,2160,7140,1,0,0,4,7,1670,490,1978,0,98023,272000
3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,313000
4,2.5,3880,35003,2,0,0,3,10,2570,1310,1984,0,98033,917500
4,2.25,2590,8190,2,0,0,4,8,2590,0,1980,0,98006,673000
3,2.5,1120,1100,2,0,0,3,8,820,300,2008,0,98122,425000
5,2.75,1970,5400,1,0,0,3,7,1320,650,1986,0,98144,399950
3,1,1220,4800,1,0,0,3,6,1220,0,1901,0,98122,385000
3,1.5,1950,7560,1,0,2,4,7,1320,630,1975,0,98022,269950
2,1,1350,8220,1,0,0,3,7,1060,290,1949,0,98177,330000
3,2.5,1670,5797,2,0,0,3,7,1670,0,1988,0,98030,260000
4,3,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126,470000
4,3,2440,9600,2,0,0,5,7,2440,0,1961,0,98034,589000
2,1.5,1050,3419,2,0,0,3,7,1050,0,1996,0,98038,163500
4,2.75,3130,13412,2,0,0,3,9,2140,990,1993,0,98052,835000
5,3,4090,12850,1,0,2,4,10,2090,2000,1986,0,98033,1.10E+06
4,1.75,1490,10000,1,0,0,4,8,1100,390,1969,0,98023,269000
3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,98074,560000
4,1,1330,2400,1.5,0,0,4,6,1330,0,1901,0,98103,615000
3,2.25,2230,10026,1,0,0,3,8,1430,800,1975,0,98052,585188
3,1.75,1650,9480,1,0,0,3,7,1220,430,1977,0,98034,305000
3,1,1190,8820,1,0,0,3,6,1190,0,1959,0,98058,166950
3,2.5,2140,9897,1,0,0,4,8,2140,0,1959,0,98040,799000
3,2.5,2180,7508,1,0,0,4,7,1420,760,1962,0,98133,400000
3,1,1060,10228,1,0,0,3,7,1060,0,1948,0,98155,230000
3,2.5,1690,5025,2,0,0,3,8,1690,0,2003,0,98023,256883
